album,track,popularity,album_popularity,album_tracks,avg_album_popularity
Rubber Soul,Michelle,68,865,14,61.79
Rubber Soul,What Goes On,54,865,14,61.79
Rubber Soul,Girl,64,865,14,61.79
Rubber Soul,I'm Looking Through You,62,865,14,61.79
Rubber Soul,In My Life,74,865,14,61.79
Rubber Soul,Wait,55,865,14,61.79
Rubber Soul,If I Needed Someone,55,865,14,61.79
Rubber Soul,Run For Your Life,60,865,14,61.79
Revolver,Taxman,63,857,14,61.21
Revolver,Eleanor Rigby,72,857,14,61.21
Revolver,I'm Only Sleeping,63,857,14,61.21
Revolver,Love You To,56,857,14,61.21
Revolver,"Here, There And Everywhere",63,857,14,61.21
Revolver,Yellow Submarine,65,857,14,61.21
Revolver,She Said She Said,58,857,14,61.21
Revolver,Good Day Sunshine,61,857,14,61.21
Revolver,And Your Bird Can Sing,61,857,14,61.21
Revolver,For No One,64,857,14,61.21
Revolver,Doctor Robert,54,857,14,61.21
Revolver,I Want To Tell You,55,857,14,61.21
Revolver,Got To Get You Into My Life,63,857,14,61.21
Revolver,Tomorrow Never Knows,59,857,14,61.21
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,66,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,With A Little Help From My Friends,67,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,Lucy In The Sky With Diamonds,70,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,Getting Better,61,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,Fixing A Hole,60,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,She's Leaving Home,63,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,Being For The Benefit Of Mr. Kite!,54,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,Within You Without You,60,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,When I'm Sixty Four,65,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,Lovely Rita,55,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,Good Morning Good Morning,52,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band  Reprise /,53,793,13,61.0
Sgt. Pepper's Lonely Hearts Club Band,A Day In The Life,67,793,13,61.0
Magical Mystery Tour,Magical Mystery Tour,56,674,11,61.27
Magical Mystery Tour,The Fool On The Hill,59,674,11,61.27
Magical Mystery Tour,Flying,53,674,11,61.27
Magical Mystery Tour,Blue Jay Way,53,674,11,61.27
Magical Mystery Tour,Your Mother Should Know,56,674,11,61.27
Magical Mystery Tour,I Am The Walrus,66,674,11,61.27
Magical Mystery Tour,"Hello, Goodbye",67,674,11,61.27
Magical Mystery Tour,Strawberry Fields Forever,71,674,11,61.27
Magical Mystery Tour,Penny Lane,67,674,11,61.27
Magical Mystery Tour,"Baby, You're A Rich Man",59,674,11,61.27
Magical Mystery Tour,All You Need Is Love,67,674,11,61.27
The Beatles,Back In The U.S.S.R.,68,1741,30,58.03
The Beatles,Dear Prudence,64,1741,30,58.03
The Beatles,Glass Onion,58,1741,30,58.03
The Beatles,"ObLaDi, ObLaDa",72,1741,30,58.03
The Beatles,Wild Honey Pie,54,1741,30,58.03
The Beatles,The Continuing Story Of Bungalow Bill,55,1741,30,58.03
The Beatles,While My Guitar Gently Weeps,71,1741,30,58.03
The Beatles,Happiness Is A Warm Gun,61,1741,30,58.03
The Beatles,Martha My Dear,58,1741,30,58.03
The Beatles,I'm So Tired,59,1741,30,58.03
The Beatles,Blackbird,75,1741,30,58.03
The Beatles,Piggies,54,1741,30,58.03
The Beatles,Rocky Raccoon,60,1741,30,58.03
The Beatles,Don't Pass Me By,54,1741,30,58.03
The Beatles,Why Don't We Do It In The Road?,54,1741,30,58.03
The Beatles,I Will,65,1741,30,58.03
The Beatles,Julia,58,1741,30,58.03
The Beatles,Birthday,55,1741,30,58.03
The Beatles,Yer Blues,55,1741,30,58.03
The Beatles,Mother Nature's Son,55,1741,30,58.03
The Beatles,Everybody's Got Something To Hide Except Me And My Monkey,53,1741,30,58.03
The Beatles,Sexy Sadie,55,1741,30,58.03
The Beatles,Helter Skelter,64,1741,30,58.03
The Beatles,"Long, Long, Long",53,1741,30,58.03
The Beatles,Revolution 1,54,1741,30,58.03
The Beatles,Honey Pie,53,1741,30,58.03
The Beatles,Savoy Truffle,51,1741,30,58.03
The Beatles,Cry Baby Cry,53,1741,30,58.03
The Beatles,Revolution 9,49,1741,30,58.03
The Beatles,Good Night,51,1741,30,58.03
Yellow Submarine,Yellow Submarine,49,538,13,41.38
Yellow Submarine,Only A Northern Song,44,538,13,41.38
Yellow Submarine,All Together Now,46,538,13,41.38
Yellow Submarine,Hey Bulldog,54,538,13,41.38
Yellow Submarine,It's All Too Much,45,538,13,41.38
Yellow Submarine,All You Need Is Love,45,538,13,41.38
Yellow Submarine,Pepperland,41,538,13,41.38
Yellow Submarine,Sea Of Time,38,538,13,41.38
Yellow Submarine,Sea Of Holes,37,538,13,41.38
Yellow Submarine,Sea Of Monsters,35,538,13,41.38
Yellow Submarine,March Of The Meanies,34,538,13,41.38
Yellow Submarine,Pepperland Laid Waste,34,538,13,41.38
Yellow Submarine,Yellow Submarine In Pepperland,36,538,13,41.38
Abbey Road,Come Together,79,1078,17,63.41
Abbey Road,Something,73,1078,17,63.41
Abbey Road,Maxwell's Silver Hammer,63,1078,17,63.41
Abbey Road,Oh! Darling,69,1078,17,63.41
Abbey Road,Octopus's Garden,65,1078,17,63.41
Abbey Road,I Want You,64,1078,17,63.41
Abbey Road,Here Comes The Sun,82,1078,17,63.41
Abbey Road,Because,62,1078,17,63.41
Abbey Road,You Never Give Me Your Money,62,1078,17,63.41
Abbey Road,Sun King,60,1078,17,63.41
Abbey Road,Mean Mr Mustard,59,1078,17,63.41
Abbey Road,Polythene Pam,59,1078,17,63.41
Abbey Road,She Came In Through The Bathroom Window,62,1078,17,63.41
Abbey Road,Golden Slumbers,67,1078,17,63.41
Abbey Road,Carry That Weight,64,1078,17,63.41
Abbey Road,The End,61,1078,17,63.41
Abbey Road,Her Majesty,27,1078,17,63.41
Let It Be,Two Of Us,65,776,12,64.67
Let It Be,Dig A Pony,62,776,12,64.67
Let It Be,Across The Universe,69,776,12,64.67
Let It Be,I Me Mine,63,776,12,64.67
Let It Be,Dig It,59,776,12,64.67
Let It Be,Let It Be,79,776,12,64.67
Let It Be,Maggie Mae,59,776,12,64.67
Let It Be,I've Got A Feeling,64,776,12,64.67
Let It Be,One After 909,60,776,12,64.67
Let It Be,The Long And Winding Road,67,776,12,64.67
Let It Be,For You Blue,59,776,12,64.67
Let It Be,Get Back,70,776,12,64.67
